,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id149,19.85698837,20.67559606,20.0455221,17.22941678,19.87984517,18.62333309,22.94573233,4.341821989,18.62737953,id149,22.15614334,15.29152225,18.18263776,14.24174513,17.45029915,12.68527709,19.04916376,7.486195675,15.62379392,id149,30.68196833,26.67855843,36.9141709,27.62985916,33.39613344,27.46315941,40.33396214,7.75863644,20.83311226
,id15,18.09630326,22.5111066,19.95320785,23.04558678,25.04188345,18.6839164,20.7206577,20.71062054,23.90971942,id15,14.32613609,14.47906619,14.38793353,16.50562307,11.90443554,11.6983439,15.1502484,14.89406471,20.28195487,id15,17.08197247,18.95559878,18.28321084,19.29362885,21.44534207,16.73738301,20.42676287,22.31179375,26.55775387
,id150,9.105585416,15.70898889,15.02391922,20.98316849,19.27078048,11.82017753,24.34066427,13.30357484,25.27562129,id150,9.195699034,14.93912771,14.64663703,16.08194158,20.20423423,10.01018773,19.41422885,9.680295824,19.77729961,id150,10.5141267,15.87061293,16.60905529,19.78624317,18.51761567,12.85474731,25.69303095,13.4555828,21.63911542
,id151,10.35910292,19.50336871,17.79978386,19.086182,17.69248881,16.2718578,17.75573059,21.95086303,21.61316443,id151,5.971488051,13.18194406,12.89763745,16.19674226,19.50860879,20.54755805,20.68097668,25.36362533,15.55006832,id151,8.156454989,27.30154137,23.27865274,19.92272133,26.98812814,20.57977194,21.40155624,32.86136126,18.98654474
,id152,0.7457115343,1.638052982,4.006509301,21.56387973,0.6760230295,2.977889838,22.69807067,17.75381842,15.97892344,id152,0.4678187663,1.291526111,3.024044052,15.92038091,0.3065695423,1.736620155,12.81631065,17.36886442,9.584219891,id152,0.575426803,1.1857291,3.821380383,24.75665721,0.4381032045,1.929533851,26.92906666,30.0855021,20.21700641
,id153,21.52743632,22.90341854,14.93337874,2.584074891,20.99332301,18.57595874,18.09613972,16.38574026,20.29666715,id153,14.0103583,19.68357162,13.21962041,2.825876363,19.66711288,18.30639425,15.36362092,13.18091263,18.02629899,id153,27.83322839,44.77958005,20.23617125,4.582005712,32.32407012,35.5710878,32.82352837,22.69725947,46.70900057
,id154,18.44136315,17.39769704,18.7454391,22.54841251,19.99510179,20.19926156,16.4228198,18.77795946,19.50175435,id154,13.01364738,15.1500549,14.72360855,13.09312276,14.00161846,15.11816325,14.09203673,13.64910577,12.46209106,id154,32.59949342,34.80248444,35.23430302,44.64236916,44.65390686,47.91912512,34.93261827,51.07751931,57.70717451
,id155,11.59615658,8.769697884,14.12219846,14.00123226,13.91411321,12.90950011,16.47570904,8.205429877,9.681458485,id155,8.278910193,9.247485474,13.54400355,13.60477278,15.47027703,10.30721469,10.2861681,10.22190741,5.893714115,id155,14.82951979,11.40685983,19.31340343,21.36246375,22.15834232,19.83207229,18.86736213,12.01017476,7.78703923
,id156,14.09661888,10.22435234,20.09961643,14.77511611,17.2040732,18.22804133,16.46249488,17.13454105,0.1242790276,id156,17.6097929,11.48002655,16.4550081,16.34584029,21.85657744,25.86232729,24.35090823,20.31158735,0.1569486921,id156,21.58292448,10.30835915,19.09249112,13.58756678,18.16079778,19.68485222,21.08938563,21.40704526,0.1612793839
,id157,16.26172009,11.11441638,15.34549888,12.64684832,14.66296142,12.22239502,15.39670953,24.69809372,15.55585212,id157,12.25996738,11.90765436,13.39381082,13.5052744,10.73225451,10.0502676,16.61609433,23.94548001,14.21519646,id157,12.49126033,8.91018158,11.97717366,10.77025249,11.8071154,9.385621318,16.42763158,19.29910306,12.70042969
,id158,9.64126466,11.81397466,2.989490292,11.35495468,7.310314735,10.61039246,16.3158294,11.78358072,13.44363356,id158,7.2265555,9.015870061,2.698078172,7.054815905,5.900703513,8.229626437,12.54569923,10.80247916,12.78531299,id158,7.563882544,10.46915372,2.757277645,10.3630815,7.977402396,10.45183046,16.47284592,12.61689449,22.09017879
,id159,13.6120698,20.2720914,17.50582514,16.26317589,18.23820782,0.3330146348,19.84408134,15.97020498,6.738636161,id159,10.25545925,17.2660406,18.04952258,11.12545529,13.24875851,0.2435217946,13.82264396,17.23644939,5.599218449,id159,17.57890546,40.4851554,40.39953541,16.411841,36.25012443,0.3152785879,37.3435834,17.61271962,6.318193791
,id16,10.91028845,15.96542495,6.235122807,0.2598084598,0.4721577239,0.4527334033,11.82962723,17.13354949,5.03442935,id16,7.853432385,14.43442441,4.172439868,0.1743830047,0.2964335194,0.7150028175,13.26459161,19.28552229,4.556367042,id16,6.355059331,12.45472302,4.182321535,0.3138514859,0.5616458828,1.032980533,11.1873752,13.64069225,3.89895104
,id160,20.8706545,19.6471678,21.46658482,7.333646449,1.970378176,4.655336704,9.107750697,17.72858244,20.58183076,id160,13.27739808,14.55513493,16.89370972,6.533946111,1.714935976,3.700643766,8.133933543,14.05810685,16.56450711,id160,38.3673545,31.94983907,30.55678738,12.8873349,2.667711684,6.766055336,12.40956574,26.35481736,35.98811783
