,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id128,19.95573516,17.82120586,18.52009474,19.44972205,15.11689,9.786576855,19.89141155,3.248049852,17.98312743,id128,17.71360827,12.46214222,12.22236359,14.86433607,10.26902561,10.07881036,16.19969795,3.056046449,15.20682561,id128,24.52581409,16.43463394,16.10390966,16.04462706,12.4214404,14.84492567,20.13829462,4.242259778,18.34931907
,id129,14.93429738,18.05888955,9.830928062,10.72839528,14.08988232,14.91625856,11.29907041,12.12485662,6.191163129,id129,10.47555691,12.43366686,7.132782195,7.237707444,11.73841453,10.80366096,6.78192694,10.31545037,4.114520343,id129,14.57684296,16.91476351,7.036401412,8.696404366,10.637619,14.82563621,7.545805632,11.6158983,7.729596906
,id13,0.0005113103423,5.474324608,0.0002336690196,6.066097197,2.692605289,6.595377948,27.02828162,2.055795647,5.383736613,id13,0.00157802762,5.551692268,0.001411830284,5.398459976,4.932705434,13.8623041,25.86793839,1.717928399,5.173763374,id13,0.004066875133,8.656210967,0.002851444,6.035191096,4.663403549,8.221846654,16.7443484,1.828952389,6.674215526
,id130,0.000004296785641,0.9070166566,10.56547132,4.743577197,13.45231292,11.48738884,9.231233732,19.18501107,9.176590232,id130,0.000006956645773,0.5263097364,11.48282812,3.354657425,13.58625787,13.53474708,12.2780683,17.04892915,6.36354365,id130,0.000009863732073,0.5947453975,11.17943089,3.384871145,13.30845612,10.34630622,14.41799079,16.94655567,7.749973174
,id131,2.417111365,1.503355047,12.91523335,5.60323428,7.460827624,13.18268044,4.285653629,0.0001216673198,4.465544709,id131,1.68028033,0.8616998874,11.86005233,3.968591728,6.655689002,13.14160908,4.181582767,0.0003345369625,3.719941142,id131,1.213321931,2.038227256,12.09229575,5.120735928,8.4999575,19.93340127,4.60638804,0.0005060276178,6.110631616
,id132,4.280404961,13.75151328,14.7646048,15.92534494,13.50833191,1.208841327,9.840054266,10.70927572,8.734522368,id132,3.520887742,10.64495004,10.53294842,15.09268209,16.98575573,2.268071581,11.61900264,8.95033685,7.953521401,id132,5.158192361,19.1395557,13.69947462,19.37429302,18.50152799,3.33128689,16.11282451,19.07881394,13.36295122
,id133,10.79559882,9.267864567,9.201569481,12.06875816,15.44267337,10.75369264,5.970885118,2.870564698,5.942520096,id133,9.294142744,7.756173885,7.852484601,12.13347376,15.65790456,8.819545433,7.245421227,4.966550128,6.958913898,id133,9.555378825,9.98091726,9.432141694,10.52009448,14.79671807,10.53729037,10.91020293,3.837866915,6.938698365
,id134,10.57565295,12.03663925,13.64158739,13.10450984,9.627130188,12.48476267,10.23636527,12.32658764,13.06077508,id134,6.378314776,8.853008824,10.14340598,10.14892453,5.843641256,10.5078781,7.325831571,9.977599127,9.435947569,id134,7.899179689,8.004935999,9.899252309,10.05734334,7.638386383,13.02664786,9.088027417,8.648388724,14.69219745
,id135,14.43185023,13.92913488,11.27441428,14.41193549,15.70133576,14.14569187,8.663219044,15.41257646,14.23460545,id135,13.49266358,15.98752783,13.65822394,9.747944124,14.20753531,11.18210841,9.729980887,16.4426181,8.77686868,id135,23.2569685,23.60586257,17.19353338,18.28282141,21.92813498,15.70993223,8.439419471,22.60912347,23.87360082
,id136,19.65001589,11.45248042,18.52879635,16.32111672,13.01715099,11.17442832,16.33248518,12.06007108,18.37565789,id136,19.32145459,10.83913166,16.76503227,15.79396721,15.35720839,9.730995881,19.65891017,15.6270493,14.32599946,id136,22.87953214,15.4042076,30.12749264,25.13434854,26.73652521,12.68439133,19.24858465,21.76665493,36.15142156
,id137,9.133107241,13.46145986,4.71661333,14.97121453,15.43847027,4.11505147,6.574002605,8.860799615,4.563329776,id137,7.860761814,8.545713084,2.751425787,8.914537578,10.734635,2.627158743,4.065886627,6.500891062,3.8495516,id137,8.202819446,7.830268819,1.735654873,11.7359744,9.763975004,2.316312522,5.260987408,5.590138848,4.245186205
,id138,14.67947318,14.18771205,18.15198589,8.478093956,8.787748073,11.00021545,8.441187629,12.8028473,13.58768066,id138,15.20334828,12.39204274,13.76900719,9.189276632,8.446498715,9.891979129,10.75574415,12.90282784,9.479427409,id138,17.24126193,15.92400522,17.43371393,8.397180742,9.884563949,12.71057189,12.37991984,13.3805545,13.69929265
,id139,15.27351945,19.61694221,17.94984913,20.24871745,18.72239244,18.76408315,14.29214974,14.44256299,13.74990975,id139,8.878677495,19.09625357,18.483613,17.7966416,18.54388541,16.72918744,15.73624802,18.94528986,13.45753889,id139,13.14925119,16.70612131,17.18451734,18.56421237,19.5742883,19.33585707,16.40216956,24.60082128,18.16036786
,id14,5.632672234,5.468865662,2.612324284,15.55820375,12.96640888,20.10216701,8.126688064,7.189295992,20.32748092,id14,9.643668522,7.305713176,3.01150372,10.25553588,14.99695208,16.26144067,11.80187527,6.421181133,17.21536766,id14,9.403042107,5.945194445,3.959826835,16.3690343,20.70726636,12.14300801,21.71565165,8.809907231,24.71910452
