source_file,task,feature_type,channel,source_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31
resting_mav_normal - C3.csv,resting,mav,C3,27,,id120,13.93382957,13.50388395,2.90945961,9.125336888,13.61330154,5.982466843,14.22181674,15.4792323,10.4705271,id120,12.13310289,11.45099848,2.669340176,12.92862293,15.07436824,7.562883844,10.27779511,8.795723414,11.71435155,id120,12.47797979,11.80868767,3.203048571,13.27881564,17.38544813,13.2279856,14.00437528,15.30006398,21.65936336
resting_mav_normal - C3.csv,resting,mav,C3,28,,id121,14.94036371,14.17615616,15.12823472,13.57972359,14.95121039,13.41831738,14.35942621,0.9368196331,9.639875935,id121,11.10301474,9.842214464,12.96426221,11.44996612,11.55548776,13.71551189,15.56283419,2.293378889,8.081713121,id121,13.12039791,11.20966386,13.90111801,14.15178791,12.24270709,17.27957728,15.91052134,3.486936848,10.05957277
resting_mav_normal - C3.csv,resting,mav,C3,29,,id122,14.46353034,11.97591497,13.30067272,11.42028738,8.636652854,4.241590285,2.833865436,10.34001403,10.30464129,id122,11.50202198,11.81904663,10.52027591,10.69122229,7.458326327,4.19086176,2.536267717,8.324636282,11.17133373,id122,14.16193509,14.64278381,13.068279,14.88153362,7.357104357,4.821458072,2.961852605,10.23074119,14.8953215
resting_mav_normal - C3.csv,resting,mav,C3,30,,id123,15.92974443,9.893969808,20.38358452,14.96857678,18.55195301,3.898029793,18.91799954,18.71922185,14.89412164,id123,13.46609447,10.15564637,18.47677344,11.17962297,13.70400799,5.131202141,12.58439852,15.94048578,10.20865612,id123,20.70830058,10.57945031,24.67917809,19.42350287,18.67869769,5.91656897,14.31574808,26.47026123,15.2673957
resting_mav_normal - C3.csv,resting,mav,C3,31,,id124,17.77640293,2.051518154,11.0427611,0.000002112485163,7.37005944,14.03741309,6.48113809,6.646048858,0.7384275188,id124,16.02286645,1.696878669,8.639586933,0.000002429659344,4.224428313,9.368283554,4.594573778,4.043023519,1.047896256,id124,16.27669984,1.920115353,7.86257367,0.000003899277212,4.442655688,14.22729473,8.250961512,2.747771379,1.1023896
resting_mav_normal - C3.csv,resting,mav,C3,32,,id125,12.24674165,13.89377885,14.24201483,6.724384487,14.15280728,8.142842394,11.79906695,17.24452977,10.81799126,id125,13.16290727,10.11810187,13.96526352,9.086710967,17.04950426,5.796060546,10.64177865,17.66889736,11.08760869,id125,12.7033589,14.15778017,18.97070173,7.050673606,24.94362971,7.108848568,13.54168468,25.53318655,13.9483773
resting_mav_normal - C3.csv,resting,mav,C3,33,,id126,9.140637445,18.36602578,5.365650514,2.741955558,13.59279245,13.34647586,4.04774205,10.05347181,3.827244845,id126,9.679142956,16.72972548,3.525307677,2.407629167,7.210147331,13.97628135,4.247989014,10.45685704,2.532234472,id126,13.46764366,17.55819794,3.964994823,3.489899213,14.04182032,14.51977451,5.649544377,10.37616562,2.377739864
resting_mav_normal - C3.csv,resting,mav,C3,34,,id127,17.35512448,15.70995178,22.45206733,18.6206011,16.35173918,3.93928211,12.44172179,7.954037503,10.22145536,id127,13.13898334,13.12401843,15.32302627,14.57170828,15.10236404,4.445311408,11.5795657,5.403571452,12.1539787,id127,20.20383302,14.12940429,19.84546807,13.40322198,18.77414216,3.635602299,11.78673015,8.138388616,13.18162742
resting_mav_normal - C3.csv,resting,mav,C3,35,,id128,20.54935304,16.5022843,18.98293695,21.66247537,19.18914161,8.778932026,11.92723117,6.087626285,18.019858,id128,15.53962443,10.51739001,12.19374771,15.00061702,13.30418056,9.231993876,11.37810786,4.945796293,15.07116039,id128,17.96903589,9.740857721,15.08659277,19.427998,14.053481,15.17602182,14.35697164,5.360545288,14.51462814
resting_mav_normal - C3.csv,resting,mav,C3,36,,id129,15.46982313,14.57648675,9.543315232,7.744923397,8.752757939,10.91422248,8.32482823,12.13089555,5.515436525,id129,10.12647494,10.85819801,6.141802236,5.056415527,7.647424486,7.394119159,5.461586759,8.493780868,3.28063214,id129,14.02319961,13.18438618,7.20570724,8.318290791,9.255400166,8.666264537,6.072521385,11.2159546,4.493955654
resting_mav_normal - C3.csv,resting,mav,C3,37,,id13,3.916348472,8.689181874,0.01203018751,7.870072525,1.799751918,4.125646389,0.03035980643,5.742043114,3.045116031,id13,5.31356303,9.459127517,0.01435625426,8.06761798,2.72443704,5.923650465,0.02125495723,6.235766015,3.265441695,id13,8.213816186,9.231029167,0.01917922959,11.45531751,3.91792757,8.05214749,0.02536709567,5.474321565,4.860825003
resting_mav_normal - C3.csv,resting,mav,C3,38,,id130,0.000001006978852,14.77095132,6.670476749,2.331200046,3.88865587,5.97150079,12.12165135,10.85607793,11.61819633,id130,0.000001630333872,10.5839223,6.108137183,3.782477997,4.314903641,6.468079258,16.77629393,8.21104552,9.398672552,id130,0.000002311627906,13.01493568,8.920411778,3.270434821,7.062275099,4.548599694,15.40415371,7.800098428,9.116339518
resting_mav_normal - C3.csv,resting,mav,C3,39,,id131,1.901160552,1.131709766,13.56175959,15.23717768,9.679972278,16.81064519,7.155555156,0.0001318354518,0.0002516770758,id131,1.701288429,0.6033992679,11.47206165,9.694741162,9.09558769,20.32587943,6.857260191,0.0004041401273,0.001054949857,id131,2.188039716,0.8757614308,12.59225107,17.24341234,12.44464721,19.97972015,6.827087212,0.0007350202573,0.002447984082
resting_mav_normal - C3.csv,resting,mav,C3,40,,id132,3.031828764,13.89818374,4.384043395,20.80516478,4.998978843,18.53403096,11.16963994,9.130557259,15.65372326,id132,1.966173234,9.343086432,3.074813084,16.61972019,6.556033772,15.32678853,11.31124775,8.763130538,16.15335619,id132,4.371581667,18.87801251,8.914110518,22.32585717,12.17419762,22.35697811,17.47857084,15.16544241,29.05408459
