,High_Beta,mav (µ),,,,,,,,,Low_Beta,mav (µ),,,,,,,,,Mu,mav (µ),,,,,,,,
,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9,ID,scenario1,scenario2,scenario3,scenario4,scenario5,scenario6,scenario7,scenario8,scenario9
,id154,18.80837505,8.84683528,20.36022378,25.3359825,18.82995156,18.95607948,20.83441814,21.41299968,24.07232646,id154,11.66785891,7.034472022,14.24966272,12.29047026,10.80126809,18.10005963,17.85520939,11.93249329,15.94399185,id154,27.57057556,12.93539394,36.52602051,40.84974449,42.5330566,39.21516372,43.46105496,47.45501407,60.28516353
,id155,14.4857831,7.881235714,11.1212986,11.74322966,15.07526223,7.077950859,14.67064915,15.43598855,11.63306949,id155,11.03449628,7.196424884,13.3390252,12.37448038,12.81950394,5.315495373,10.11630496,16.53802305,6.060508281,id155,16.73972966,8.34153231,22.10344388,20.15890145,25.8983399,8.021258579,12.86623843,23.67034825,8.980216563
,id156,16.9052462,7.189413739,17.19575985,15.31231103,20.00765878,9.136040645,12.84136266,12.70411142,0.1241874447,id156,22.44929913,6.484375231,16.48334611,15.33898911,23.55198731,12.36837122,14.20951845,13.08401245,0.1542934716,id156,21.41316673,7.164473122,15.78926323,15.08057278,20.0392495,13.52769515,15.98683247,15.94844644,0.1525658108
,id157,13.6052403,11.3806857,13.6348544,12.3742447,11.97407641,15.10441115,13.11570338,14.10703722,9.881028185,id157,10.43615222,9.897056367,10.08459837,9.18749279,9.011299331,10.31884478,12.38265483,12.12164719,7.238297231,id157,11.33384656,8.212277878,10.85063767,10.70419088,11.5146698,11.5816441,15.14810254,11.86733569,6.482462816
,id158,17.72901369,16.0979069,2.103321802,13.52261824,15.98284209,21.19755515,15.76410046,14.65952998,15.03495716,id158,12.41852713,10.79229925,1.83344659,12.38739462,13.68328785,15.19192584,11.37067521,14.91287633,12.72198773,id158,16.20227259,15.71995224,1.974544157,12.8440809,17.25999433,18.36344787,16.42922695,18.95727648,20.45681895
,id159,10.14504174,15.74665921,15.96024011,16.96157325,18.50569685,0.3252267442,18.33864189,11.54962635,7.263426576,id159,9.865301159,11.07916874,12.71610057,16.13502755,18.35114686,0.2378267863,17.37805429,12.16429987,5.529380243,id159,15.6866648,26.22848232,35.4281788,18.80901339,34.92691997,0.307905473,37.84281342,18.50654562,7.593557126
,id16,10.60405009,4.426356769,5.114645849,0.6086734825,1.23460742,2.008534241,1.675000137,2.575596666,4.864892419,id16,7.447954835,4.271318044,4.122063586,0.7675530752,1.715599978,2.583791048,2.078740886,2.573416044,6.027937599,id16,9.063910519,4.152188268,4.200274919,1.195390932,2.213744872,3.369855693,3.087412108,2.936096265,5.613789635
,id160,19.84334077,21.39168111,19.33777282,14.44912359,1.670136323,12.61034311,18.96834626,22.67544683,18.14956852,id160,16.64426348,16.7600731,19.36691534,13.70788491,2.138218683,9.636765156,15.62303518,15.1804718,15.98731497,id160,44.82360569,48.2140247,48.53472523,21.69299215,3.547074052,11.7777131,40.01289318,42.03488401,36.45373696
,id161,12.35152387,17.34537896,16.60034218,17.85071399,22.82011655,20.4788004,19.62804977,20.44119375,21.64159105,id161,9.366980233,12.36082353,13.43643109,11.44463412,12.31480475,15.70728699,14.1748125,16.01697924,15.1413682,id161,13.29287972,30.74503116,26.37761285,24.190226,40.15780249,33.36242591,40.91429783,46.64959504,38.15500926
,id162,15.64604406,20.7052839,18.04051662,8.081028505,6.790720631,9.613787358,12.48705617,17.59869261,15.3948952,id162,15.92186451,18.37705954,15.94166854,8.817212277,5.539773846,11.16299994,17.15071846,16.51411255,15.66735832,id162,32.04792621,32.70903632,39.16581683,13.7547434,5.200692528,12.97345247,21.34743963,16.29936803,22.78604777
