subject_id,task,channel,subband,scenario,scenario_num,mav,variance
id100,resting,C3,High_Beta,scenario9,9,4.456751613,4.388303399e-05
id100,resting,C3,Low_Beta,scenario1,1,2.624564748,2.406741591e-05
id100,resting,C3,Low_Beta,scenario2,2,4.638511947,4.654427189e-05
id100,resting,C3,Low_Beta,scenario3,3,5.016785793,6.467482273e-05
id100,resting,C3,Low_Beta,scenario4,4,2.774417274,2.61717701e-05
id100,resting,C3,Low_Beta,scenario5,5,4.365936868,3.370412954e-05
id100,resting,C3,Low_Beta,scenario6,6,7.471403794,9.059077874e-05
id100,resting,C3,Low_Beta,scenario7,7,5.893270298,6.737920386e-05
id100,resting,C3,Low_Beta,scenario8,8,5.551405088,5.550133676e-05
id100,resting,C3,Low_Beta,scenario9,9,5.023243841,5.014821949e-05
id100,resting,C3,Mu,scenario1,1,2.346949609,1.417248293e-05
id100,resting,C3,Mu,scenario2,2,6.902757518,9.027335529e-05
id100,resting,C3,Mu,scenario3,3,7.523771063,0.0001387025486
id100,resting,C3,Mu,scenario4,4,5.601082598,0.0001303262297
id100,resting,C3,Mu,scenario5,5,4.256313607,3.318013282e-05
id100,resting,C3,Mu,scenario6,6,9.468072551,0.0001654663452
id100,resting,C3,Mu,scenario7,7,5.703024894,6.221174039e-05
id100,resting,C3,Mu,scenario8,8,7.206359455,9.308793157e-05
id100,resting,C3,Mu,scenario9,9,6.367478168,7.633198581e-05
id100,resting,C4,High_Beta,scenario1,1,18.43072164,0.0005720937696
id100,resting,C4,High_Beta,scenario2,2,11.53175378,0.0003325160794
id100,resting,C4,High_Beta,scenario3,3,13.98989426,0.0003545874208
id100,resting,C4,High_Beta,scenario4,4,15.69765066,0.0005754651948
id100,resting,C4,High_Beta,scenario5,5,9.510478751,0.0002840076078
id100,resting,C4,High_Beta,scenario6,6,12.28271946,0.0003555992989
id100,resting,C4,High_Beta,scenario7,7,14.43458498,0.0006765847671
id100,resting,C4,High_Beta,scenario8,8,13.84755361,0.0004827966095
id100,resting,C4,High_Beta,scenario9,9,4.080605344,6.087075549e-05
id100,resting,C4,Low_Beta,scenario1,1,18.59214363,0.0005339790152
id100,resting,C4,Low_Beta,scenario2,2,9.641276963,0.0002182226278
id100,resting,C4,Low_Beta,scenario3,3,16.31211479,0.0005385245404
id100,resting,C4,Low_Beta,scenario4,4,13.78802324,0.0003879412546
id100,resting,C4,Low_Beta,scenario5,5,8.272595486,0.0001925249877
id100,resting,C4,Low_Beta,scenario6,6,14.73954945,0.0003726520874
id100,resting,C4,Low_Beta,scenario7,7,10.55089378,0.0002957595848
id100,resting,C4,Low_Beta,scenario8,8,14.87452514,0.0004906178953
id100,resting,C4,Low_Beta,scenario9,9,5.493498605,0.0001206586749
id100,resting,C4,Mu,scenario1,1,23.30238013,0.00085245589
id100,resting,C4,Mu,scenario2,2,11.99519242,0.0003664951112
id100,resting,C4,Mu,scenario3,3,19.99397768,0.000884685937
id100,resting,C4,Mu,scenario4,4,19.00881112,0.0008090090499
id100,resting,C4,Mu,scenario5,5,11.80562407,0.0004439331757
id100,resting,C4,Mu,scenario6,6,17.2218211,0.000516294527
